"username","description"
"ami_islander","Award-winning community weekly newspaper on Anna Maria Island, Fla. Best news since 1992."
"rickhirsch","Journalist. Talent scout. Recovering newsaholic. Former managing editor at the Miami Herald."
"carliewaibel","Proud Minnesotan. Waibel, rhymes with bible."
"UncensoredScoop","Covering news impacting Sarasota county, National news, and international news"
"carioka411","Weather News History Travel"
"JustinMosely","WSNN-TV Chief Meteorologist, AMS Approved, Floridian, covering the weather for over a decade on Florida's Suncoast! @SNNTV"
"SamanthaSonner","Morning News Producer | @NewhouseSU Broadcast and Digital Journalist Alum | Always looking for a good story | RT's are not endorsements"
"srqstockpicker","Biotech enthusiast and master googler lol  Do your own Due Diligence!  Personal posts as well. #hbarbarian"
"caribqueen_11","Mom of 2 teens and 2 rescue kitties. Philly attorney. My heart is in the USVI.  Star Wars geek. Proud grad of @UDelaware and @TempleUniv"
"Jdherbst","Sales Manager"
"Bobthepilot","I pontificate my subjective convictions with indelicacy.

I block those that advocate violence, hate, racism, xenophobia, misogyny and that convey ad hominem."
"ChristiWomack","Writer and editor @meetmiles, USF alumna & Bulls fan, proud Rotarian, vegetarian, advocate for black cats."
"EmbassySarasota","The @EmbassySuites by #Hilton in #Sarasota, Florida—NOW OPEN—is a 19-floor, all-suite hotel within walking distance of Downtown Main Street. | #SuiteSarasota"
"TonyDertouzos","Proud son of immigrants │If it’s important to you, it’s important to me │ Not sure how, but followed by @sharonvanetten, @BigAudioDyn, and @sleuthmedia :raising hands: light skin tone:"
"gporter812","Proud kid raised in a barn. My playgrounds were on the backside of :horse:racetracks.

It is easier to fool the people, than to convince them they have been fooled."
"LBKChamber","Longboat Key is located on the white sandy beaches of the Gulf of Mexico in sunny Florida."
"redskeeter","You have the right to free speech!! Provided of course you’re actually dumb enough to try it. Know your rights!!"
"10TampaBay","10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? :mobile phone: 727-577-1010, :e-mail: desk@wtsp.com or reply using @10TampaBay"
"SuzyP39","I am a model and Pageant girl who loves God and her family and her Dog Reece."
"jaimevelez","Chief Empathy Officer & Organizational Change Management Expert. Army Vet.
Helping orgs succesfuly navigate the people side of #DigitalTransformation. :man technologist: light skin tone:"
"UAMGLala1014","Destiny is all...Living my best life in Florida with my best friend and soul mate #bossmanfrank and doggy mom to rescue pup Simba :paw prints::red heart:"
"VisitBradenton","The official Twitter account for Bradenton Gulf Islands, including Anna Maria Island, Longboat Key, Bradenton, and Lakewood Ranch."
"MGarbett52","Real time news editor @McClatchy || Past @bradentonherald || Tampa Tribune || @AUG_Chronicle || Proud NJ native now living in the Sunshine State"
"RCCallihan","Local Gov & Politics Reporter @BradentonHerald | Tech guru, NBA stunt double & aspiring Chopped competitor | @GoUSFSP Journalism | Tips? rcallihan@bradenton.com"
"IMascarenas","Public Information Officer for Pinellas County Schools, Emmy Award winning Journalist/TV Reporter, Bilingual Cuban-born :flag: Cuba::flag: United States:American-raised. Opinions my own"
"FLNewsHeadlines","Trending news from The Sunshine State 
https://t.co/NSQnKqhTlB 
https://t.co/d5MDCptNyw"
"JakePetersonTV","News Director WXLV"
"kkuizon","Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own"
"madgreek65","Author of Accelerating Cloud Adoption & Architecting the Cloud.  Die hard and suffering NYG fan. Metal Head. Always looking at what's next."
"yepallgood4now","Telling the truth as I see it without any subjectivity."
"Gsabella","@pbpost education reporter/ @SPJFla board member / @UF journo grad / Cat dad / Reach me: gsabella@pbpost.com"
"DeniseKJohns1","“If I always do what I have always done, I’ll always get what I’ve always got!”"
"LoriMoffet","Florida Native , I bleed Orange and Blue , LOVE FOOTBALL , HS / GO Palmetto TIGERS :tiger: , College / GO GATORS:crocodile:NFL/ GO BUCS ! LOVE TIM TEBOW , Reality junkie!"
"TampaEFL","My “bio” changes with each day; life is entertaining like that :movie camera: *Entertainment Value* Tweets are protected"
"Wolfetwin1","Married to Kenny.  Retired Data Processor from Hillsborough County Schools. Twin sister #1"
"KeikosLegacy","The life and legacy of Keiko the killer whale."
"ussqueen",""
"abcactionnews","Tampa Bay News: Check out our traffic feed here: https://t.co/M2uAC172SI"
"TripTimber","Wanderer. Amateur researcher. Gadabout. Music enthusiast. Currently studying Audio Production and Engineering. “A cavalcade of eccentricities” -JM"
"mysuncoast","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1"
"segsbythesea","A registered Segway dealer, that offers tours, provides rentals & hosts events on Anna Maria Island. Experience the Segway Smile."
"SarasotaMermaid",":globe showing Asia-Australia: things can change"
"what_jill","baby found in corner!   NO HILLBILLIEES WELCOME AGGRESSIVE OR OTHERWISE!!"
"rockstarclean","Owner of Rockstar Cleaning and Organization. Residential Cleaning. Hillsborough Pinellas Pasco FL. :musical notes::star::sign of the horns:
Check out my Facebook Business Page & give it a LIKE!!"
"weatherchaser5","BS Atmospheric Science - Ohio State, Meteorologist, Storm Chaser, Structure Hipster, Photographer and lover of all things travel. Grand Optimist"
"BillyCorben","Directed #GodForbid: The Sex Scandal That Brought Down a Dynasty (on Hulu) and #CocaineCowboys: The Kings of Miami (on Netflix)"
"srqgator1984","GOP ran me off.

#GoGators

#GoBrowns"
"LisaEmersonNews","Assignment Manager WTVTFox13"
"Rodneyg54961524",""
"KellyRingFox13","Small town girl from Arkansas, mother of 3 amazing kids. Wonderful hubby!! Anchor of the 6 and 10pm News on @fox13news"
"JosephSchager","Fatherhood. Environment. Sustainable Finance. Fitness. Travel. Independent. :globe showing Americas:
Semper Fidelis! *no financial advice*"
"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater"
"FINDRENTALS","The Guide To Vacation Rental Management Companies - Local Hospitality and Best in Rates and Availability with Properties that are Safe for You and Your Family!"
"AshleyBatey","Weather nerd, history nerd... Nerd in general. Animal lover, yogi, amateur mixologist, and #vegan, plant-based runner. Meteorologist @spectrumnews1OH"
"eelagr","Resilient spirit, born on Earth, every human, animal and plant are my family and the entire planet is my backyard."
"HempTimmy","#1Bhole"
"teresal87","Christian. Liberal. :water wave::water wave: #Resist #Vote Blue #AdoptDontShop :guide dog::cat::service dog::cat:‍⬛ #BLM"
"305Pirate","Extremely entertaining (in my own mind) Floridian, Travel Junkie, humble narcissist, introverted extrovert, BMW Luv & happiest married pirate queen :)"
"LoriCastellano","Be the change that you wish to see in the world, Mahatma Gandhi.  #Feminist #Environmentalist #Resistance #Bluewave2020 :water wave:"
"jeffkleinman","Day Editor at @MiamiHerald | #Florida man | Sharing news with digital brain and analog heart https://t.co/VJa2E8gEOS"
"jumpatarpon","Christ follower, family man, tarpon fanatic."
"Theoryprof","Academic Director of School of Music at Lipscomb University. I love conversations about pedagogy and am committed to work/life balance."
"elle_davis1",""
"Vern94264301",""
"CDodsonPCBeach","Just an unverified nobody living in Twitter World. I'm dreaming of seeing the BattleHawks play in St. Louis for Opening Day 2023. $cashtag is BattleKAWL."
"JasonAdamsWFTS","Meteorologist at WFTS in Tampa | ’The Bearded One’ :man: light skin tone, beard: | Florida State Seminole | Shark & Ocean Advocate | Pro Beach Bum | I :red heart: Florida | Rock/Metal Guy:sign of the horns: light skin tone:"
"PeterSchorschFL","Husband to Michelle, Father to Ella. Publisher of @Fla_Pol, https://t.co/xHY94R11d9, INFLUENCE Mag, etc."
"813JAFERD","#BAFERDLife in the ED. Med education, Health policy, sports, Florida man. Views my own. “Healthcare” should be two words & run by people who see patients."
"newstart43","https://t.co/dStyCqdeIY"
"PrincessIgbarun",""
"sarasotaSUPco","ski, surf, paddle  paddlesurf , paddle board, SUP, stand up paddleboarding"
"corvetteflex","'Fire rainbow' through a 'window' in the clouds. Pleasently in •   https://t.co/wlnjGiFNlF"
"angiedillman22",":hibiscus:Majored in biology, workin, have a degree in Design, DM me if interested in any design or art I put out, I can make anything custom to your needs:prayer beads::candle::butterfly::tulip:"
"DonnaJoean","retired nurse"
"LilianFNorris","Science Art Nature :red heart: :microscope::test tube::artist palette::herb::bug:
Artist, enviroeducator, writing & illustrating upcoming kids' books to inspire & empower in #STEM #STEAM to #makeadifference :globe showing Americas:"
"NorwoodSmith1","Avid traveler; fan of the hospitality industry; consensus builder; gym rat; incurable sweet tooth; Honey Badger tendencies."
"dbryan63","Mom fighting for justice"
"SarahHollenbeck","TV News in-depth storytelling manager @abcactionnews, Chicago native, @mizzou journalism alum, mom, dog lover. IL-MO-FL-KS-back to FL"
"TedBraverman","Freelance Photographer, Video Creator, IT Specialist #Travel #Outdoor #Enthusiast :leaf fluttering in wind:#photography #videography #consulting #ITSpecialist :flag: Ireland: :flag: Ukraine: :flag: United States:"
"beth1358",""
"Gordon_MoodySr",""
"janamorreale","Talent recruiter at Ad-Vance Talent Solutions. Former Features/social media editor at the Bradenton Herald in Florida. Penn State proud. Reality TV addict."
"gotoPRpros","Strategic PR for business. Lover of space, community, baseball and chocolate. Opinions are my own."
"AlanBell35","Two decades plus in newspapers, looking for next career adventure. Formerly at Bradenton Herald and Tampa Tribune. Fan of 49ers, Lakers, Braves, Lightning, UCF"
"Janewat72","If my life was interesting I'd be hilarious!"
"Mctowers","Computer repair 
:desktop computer::laptop::keyboard::computer disk::floppy disk::computer mouse::trackball::optical disk::dvd:"
"MichaelPaluska","Special projects Reporter at ABC Action News."
"BytorNSnowdog","""""In the Age of Information, ignorance is a choice."""" #Yooper No amount of evidence will ever convince an idiot. I am anti-fascist. #ElectionsHaveConsequences"
"kellyraley","Wife, mom, Christ follower, hunter, teacher, Goldendoodle mama, and lover of all things outdoors! Heaven is in Sanibel."
"cacroxie","Nature lover. Animal Lover. Ocean Lover. Music Lover. Artist 4 peace  love & the planet :globe showing Americas: You may say I'm a dreamer but I'm not the only one :peace symbol::green heart::sunflower::victory hand::globe showing Americas:"
"snookman342244","fish master troll basher redneck thats proly goin spell most shit wrong. most likely gonna offend ya. probably shouldn't follow me. dont say i didn't tell ya"
"Trekmark8","FL native & graduate of the Ringling College of Art & Design; creator of the online animated series 'Stone Trek’."
"Shanee_O5K","CPA_Mom_Libertarian_We need more honest discourse #BlackLivesMatter #cleanwater #climatechange #SaveTheBees #HealthcareForAll #LGBT  #Cannabusiness"
"kaceyliles",""
"KindnessLives","I live in gratitude. Author of Muscle Hugs, a spiritual approach to muscle pain."
"plategirl19","Blogger, mom w appreciation of entertaining, tablescapes food, travel, Florida lifestyle; Tampa Bay"
"Theweathercentr","Weather Enthusiast.  Provide Weather Analysis, Forecast & Information for the Southeast Florida area. South Florida Native. Broward, FL. Retweets ≠ Endorsements"
"angie_angers","Morning reporter at Bay News 9 in St. Pete. RI native and longtime Floridian. Story idea? Golf recs? DM/Email me at angela.angers@charter.com"
"Cam1Eddie",""
"susan_linnen","Boomer, Democrat, Disgusted."
"chloeangelabby","Born and raised in Louisville KY now living in Florida, Democrat with a brain, I listen to all and the issue"
"Hunter_Smith82","USF Fiji"
"mytampalawyer","UFGrad.Runner. GOP. Dogs."
"moose196850","Cincinnati Sports fan, Father of 2 boys and 30 years with my wife. Fitness & Health are up on the list of priorities. Life’s been good. #67 Volson Superfan."
"cherkra",""
"mimi12498","Family, #military daughter,sibling,wife & grandmother. #flip WH & Senate to blue 2022#FreePress #electionReform #VOTE BLUE To save America #:puzzle piece::SOS button:#wearadamnmask"
"Sorabigaze",""
"mcgottman99","and we’ll all float on okay... BLM • she/her"
"gatorpk321","Daily horseplayer. 2X NHC qualifier 2023. First-Party Plaintiff Insurance Attorney. Nationwide Policy and Insurance Coverage Consultant. Sober 4/14/21."
"OOPinellas","OOP is one of many groups that make up the Opt Out Florida Network. This account, like all Opt Outs, is ran by an individual & not @OptOutFLNetwork."
"Melissa89431446","Mom of 3 Nana of 9. we are all human beings, except 45, he is inhumane"
"BeachyGirlNancy","Enjoying life at the beach and Harley's every single day!"
"lapinskilucas","Live and breathe sports especially @packers and @raptors as well as my beloved soccer team @LegiaWarszawa. Live where you vacation! #BradentonFL"
"MomslawKim",""
"BagalueSunab","We are a member of the coalition of small island and low-lying coastal countries that share similar development challenges and concerns"
"eraromeros","MI-NY-MI-NY-Philly - Someday NM???"
"Chicostephenso1","I am a very intelligent teenager trapped in an adult body.  I dig writing, tech, movies, books, history, cycling,  laughing, and food that's bad for me."
"MyBeachChair","Proud Army mom & animal lover. Worried about what is happening in our country, our environment & what will be left for my grandchildren."
"Ancientbob","Searching for truth and integrity in a world of hypocrites. Save a life...adopt a pet. Navy Vet, Blue Water, (HM1), MCB, retired nurse. UND alum  @VVAmerica."
"trendrewards1","Microsoft  Innovation Award Winner :trophy: Hellsinki 2008 / MLearner
(NEXT)New Xchange Trade FMCG Platform
 @Trendrewards1 @CitrusRamaphosa
 trendrewards@gmail.com"
"ToriBoe",""
"MWashDrum","Musician Entertainer Photographer Teacher. Masterwork Cymbals Artist #music #drums #arts #travel https://t.co/hewrjr8UZH"
"PuggieSue",""
"RyanReports",":television: Live Desk Anchor | The National Desk @TND | Storyteller from the Show-Me State"
"seniorsvscrime1","Seniors Vs Crime Project, Florida Attorney General#, volunteer staff https://t.co/U9yC689ZYd - request assistance - find an office - volunteer !"
"RealBradenton","We bring people together! Realize Bradenton is a nonprofit dedicated to promoting the Bradenton area's arts, culture, heritage, and food."
"pointchase",""
"HLeighWFTS","Reporter at ABC Action News - I love playing guitar, hanging with my two cats and two dogs, and having fun in Tampa! Say hello if you see me around!"
"artist57101",":artist palette::books: :green heart: National Parks:four leaf clover: I retweet different points of view."
"Stan9450","I'm a lawyer dedicated to helping the injured and their families."
"cstein79",""
"NewsUpdate24Ext","We bring news and information from many sources also here on extra. Warning: Ongoing News Are Developing And Information May Change When The Situation Calm Down"
"jasondoee","26 // sarasota // UF ‘23"
"HATWFL","On September 12, 2018 thousands of people lined Florida's coast lines demanding action defending water and wildlife."
"Leva3Eva","Hunters & Fishers promote's the necessity of hunting and fishing."
"emergencyglobal","Worldwide Disaster Alerts  / Alertas sobre  desastres, emergencias, sismos relevantes, tsunamis y volcanes. #VOST #SMEM"
"CaligirlLeftie","#MurderByMandate. Did u know Congress exempted from #mandated vaccines? Biden sending Billions to NeoNazis. Do you know what #OperationGladio is?"
"Cool_Breeze1979","#CommonSenseRevolution - #HumanRights - #AnimalRights - #EnvironmentFirst - #Atheist - Geek - Gym Junkie - Poker Enthusiast - #Leafs & #Oilers #NHL"
"photonuttt","We are flooded with liberal news everywhere, here is the flip side of the issues."
"BenlowInvest",""
"tompkinscondie","Visual Lead/Photojournalist at the Bradenton Herald, a McClatchy newspaper in Florida. CrossFit nut."
"ChrisA0213","Columnist for the Sarasota Herald-Tribune. My email address is chris.anderson@heraldtribune.com."
"zacjanderson","Covering Florida politics for Gannett newspapers in Sarasota, West Palm Beach, Jacksonville, Naples, Fort Myers, Pensacola, Melbourne, Tallahassee & more"
"NeetChanMAIN","Cute AND funny
JRPG dude and Gacha spender.
FFXIV/SMT/FE/EO/FFT/GBF/XC

he/him 25"
"bpfagan",""
"taveljimena","Higher education/Broward schools reporter for the @miamiherald. Periodista cubriendo universidades en Florida y escuelas en Broward para @elnuevoherald."
"TownofLBK","Official Twitter of the Town of Longboat Key | Feed not monitored 24/7. Social Media Terms https://t.co/HuJDA74UKA…"
"pux19","We’ve got up front fanatics, tearing down the barricade."
"JeffPutterman1","Proud Father, Grandfather, Licensed Life & Health Insurance Agent, Health Insurance For All Americans! jpinsurance330@yahoo.com"
"JohnRogers8News","Anchor of Good Morning Richmond on WRIC. Born in Panama :flag: Panama: Raised across the US :flag: United States: Dad :baby bottle:Proud FSU grad:oden:"
"HeatherMonahan_","Content writer @CypressNorth | Recovering journalist | @StBonaventure grad | Ski bum | Space nerd | #BillsMafia @americanoutlaws #ForçaBarça"
"Darkside2Light","Christian, husband, father."
"vgliatti","Living in the moment! #CancerSurvivor #MeToo  Preserve Democracy! :sunflower:"
"Cheryl_Reynold","Love this country & our new Prez. Taxpayer. Voter."
"vinmannix","After nearly 50 years in journalism in Florida, this ol' Lakeland Muskie is retired, but keeping his hand in writing."
"juliettetorrez",""
"nocoolnames13",""
"MarcoLaMannoWX","Anchor and meteorologist at @SNNTV! Gator alumnus. marco.lamanno@snntv.com"
"DogWalkingDiary","Dog walker.  Chemically Sensitive (Environmental Sensitivities. Environmentally Friendly.  Against Fracking.  Animal lover. Vegan. Cycling Super Fan."
"HolmesBeachPD","This is the official page of the Holmes Beach Police Department"
"danajbama",""
"ANavarro2422",""
"Jxnewton","Friendly Reminder:

“Our vote this year is about whether we ever get to vote again.”

— Rachel Maddow"
"MatthewESauer","Proud father/husband. Collaboration and Impact Officer, Charles and Margery Barancik Foundation. Former Gannett Florida regional editor, Sarasota H-T editor."
"nocovfefe","Wish to be reincarnated as an investigative journalist. Equality! Paying attention. Resistance, persistence... resilience. Black lives matter."
"tophernoun","Bronco Backer. Gator Booster. Jack’s dad. Wendy’s husband."
"jdog16135",""
"lilmotza","Love my wife kids&grandkids Car&motorcycle crazy Old westerns comedies Old Rock&Roll 2-A :frog: #BacktheBlue Trumper-MAGA"
"blreeves",""
"SimplySCrafts","Fighting #MS | ‘FORMER’ Digital Producer with: @theweatherchanel @Fox5atl | NBC & ABC in 2008 | Autism Advocate | https://t.co/tl5ifNd4Eu"
"Robertcolwell1",""
"WFLASteveA","8 On Your Side Senior Investigative Reporter"
"AnthonyLeone","I'm a digital news editor @MyNews13 & @BN9 and also cover space for them. Long career in newspapers & news sites. Also love cooking, photography & weather."
"Beachgirl115",""
"jaybee341","father of five daughters 
step dad to two men
leader of four members of the dog pack"
"NancyCa83503222","Snarky Nurse . Happily married for 28 years . Semi political with shades of reality TV . No DM's please.
Follow me, I'll follow you!!"
"lilitica","#YemenCantWait #FreePalestine #HandsOffNicaragua #HandsOffHaiti #HandsOffEthiopia #AbolishNATO"
"ighgy",""
"ZackSampson","Investigative reporter @TB_Times. zsampson@tampabay.com. On Signal: 813-534-0157. he/him."
"AustenErblat","Florida man in Colorado. Digital producer, occasional reporter @CBSNewsColorado. Past: @SunSentinel. Drummer too. Love alligators. austen.erblat@paramount.com"
"hannah_denham1","@WBJOnline reporter covering Amazon, higher ed, transportation, data centers | hdenham@bizjournals.com | Previously @washingtonpost @TB_Times | She/her :rainbow flag:"
"ianrkenilworth","Save the Bees, Save the Seas and Save the Music. All views are my own."
"AdriaIrahetaTV","Comms at @HillsboroughSch. Cycle instructor. Former reporter @BN9. OG @verified:trade mark: I tweet all things Tampa & #GoBolts On a mission to change the world :globe showing Americas:"
"TB_TimesCurso","Photography Director of News & Sports for @TB_Times photojournalist, father, husband, grandfather and all around good guy. @csuf alum"
"TMarreroTimes","Staff writer for the Tampa Bay Times @tb_times You ain't gonna learn what you don't want to know. -- John Perry Barlow"
"kimalyceosteen","*NO LISTS NO DMs* please :water wave: Miami Born, Free the Weed. Claim to Fame: saw the Beatles live 1964"
"SharonKWn","Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks"
"ObserverGroup","Your source for neighborhood news in Sarasota/Siesta Key, Longboat Key and East County.

https://t.co/eaf1UvWH5L"
"felixveganews","Journalist | Legal Correspondent | Attorney | USF Criminology Graduate #GoBulls | Manhattan is my 2nd home | Raised in Florida | Born in Red Bank, New Jersey"
"davidgomeznm","Cedar Post Modernist.  Just some dude in Santa Fe."
"ReneeWatson68","Retired Bull hauler.  #CowGirlUp #GenX #ArmyBrat  #FUCKFACISTS  #NeverTrump ~#Science"
"LuisSantana",":camera: Staff Photographer at Tampa Bay Times :smiling face with sunglasses: :family: man, woman, boy, boy: Dad & Husband :money bag: Business Owner:flying saucer: Drone Pilot :dog: Dog Lover."
"WarmGingerTea","Nom de net … Same on Counter Social, https://t.co/0V5B4M1P98& Rantt Media. #ProtectDemocracy #ResistFascism #SupportUkraine"
"kingofthe352","With three eyes, I have two to look and one to see...#ShiphLu #NIGIE #C4 #DJLgraphFX"
"JenniferKveglis","The K is silent :shushing face: • @NBC2/@ABC7 Reporter"
"j_restle","she/her"
"inezrussell","#EditorialPageEditor, The Santa Fe New Mexican, #thenewmexican,"
"RobinIller",":evergreen tree:"
"AmandaGranit","Chief Comms Officer at @HCSOSheriff. Grilled cheese is my spirit animal. That's all."
"YourSouthFL","Your monthly source for serious & intelligent conversations designed to build community and bring a better understanding of our South Florida neighbors."
"KathJimG","Katherine & Jim. Attorneys, Married & Parents & Retired Prosecutors. #GoBlue. UM'80."
"AltRickScott","Rick Scott seems to like to pretend like he's Tom Riddle. Just here to remind you he's more like Voldemort. (R-Azkaban)"
"TBTimes_Bulls","Sports reporter for @TB_Times. Christian. Dad of 3. Old-school aficionado (The '80s were blissful.)"
"DebonairHustler","Picking winners at the racetrack since I was born, and doing it with class and style.  Welcome to the horse racing world of the Debonaire Hustler!"
"KENDALLKUBAN","Mind of a Queen, heart of a warrior 

Don’t be a fool & presume to know me"
"kdesgrosiellier",":palm tree:"
"ItsScant","I live on an island"
"AmyTidd","Community  Advocate"
"RegionRmx","Hi, im Region R or Roberto Serrano, a Mexican artist at your feet :v Email me at robertoserrano222@gmail.com"
"JorjaRoman","Anchor on Your Morning News @BN9"
"KyleSasserRE","Tampa Bay Realtor and Home Expert, host of Great Things Tampa Bay podcast."
"jthalji","Proud @TB_Times alumnus. Recovering journalist. I miss #NightEditorProblems. #GoBucs #Raysup #GoBolts #GoBulls"
"lynnenews1","|#RhettsMom|#WeatherJunkie|#Music|#Beach :beach with umbrella:|#Crafter|#Fashion:shopping bags:|#VOLS:orange heart:#BrainSurgerySurvivor|#Cats|#80s| @NBCOneChicago:fire engine:|#JusticeForBritney| #GodIsMySavior!:folded hands:"
"NewsGuyGreg","By Day: Dog Dad :dog face: AvGeek :airplane: Theme Park Tourist :roller coaster: By Night: Anchor at Spectrum News 13 Orlando :television: :eyes: RT ≠ Endorsement (:fire::up arrow: IYKYK)"
"FarRightGirl","Radically Right fighting for preservation of the Constitution,the foes of the American Way of Life and restoring the Republic with like minded leadership."
"langstonitaylor","Data editor for @TB_Times. | He/Him."
"carlmarksWUSF","Digital news editor for @NPR affiliate @WUSF. Previously with @TB_Times and @TBOcom. Early guy, man of faith, Gator, Jersey transplant."
"lowkey_jennjenn",""
"SherrisLaw","Areas of Practice: Wrongful Death, Trucking, Auto & Motorcycle Accidents, All Injuries Law , Civil Rights, Immigration, Bankruptcy & SSDI and VA law"
