"","text","created_at.x","reply_settings","id","possibly_sensitive","lang","author_id","conversation_id","location","protected","description","verified","username","name","created_at.y","profile_image_url","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","in_reply_to_user_id","reply.to.thread.no.term"
"11","Blue roofs, red tide and more - it's a lot but we break it down in the Dove Daily Update! . https   bit ly 3YEPpix",2024-10-30 15:30:11,"everyone","1851647799059730729",FALSE,"en","608235166","1851647799059730729","Tampa Bay, FL",FALSE,"105.5 WDUV The Dove plays all of Tampa Bay's Lite Favorites! Stream anytime online!",FALSE,"1055TheDove","105.5 The Dove","2012-06-14T15:23:54.000Z","https://pbs.twimg.com/profile_images/1745112048374005760/je0tklmq_normal.jpg","https://t.co/i1RO8qiOD7",NA,0,0,0,0,0,11,NA,2773,4382,30316,63,999,"Blue roofs, red tide and more - it's a lot but we break it down in the Dove Daily Update! https://t.co/7KyDioaTnA",NA,NA
"12","🌊A week after the fall's 1st confirmed reports of red tide off the Pinellas County coast, data show concentrations elsewhere. Bloom-level concentrations were present: Pinellas County 5, Manatee County 2 and Sarasota County 2. #Poison Help 1-800-222-1222. . https   health wusf usf edu health news florida 2024 10 28 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-28 21:01:00,"everyone","1851006274357318121",FALSE,"en","236390420","1851006274357318121","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,34,NA,1211,429,10166,21,2582,"🌊A week after the fall's 1st confirmed reports of red tide off the Pinellas County coast, data show concentrations elsewhere. Bloom-level concentrations were present: Pinellas County 5, Manatee County 2 and Sarasota County 2. #Poison Help 1-800-222-1222. https://t.co/FqedETFNdM",NA,FALSE
"13","Red tide detected off Pinellas, Hillsborough, Sarasota and Manatee counties . https   health wusf usf edu health news florida 2024 10 28 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-28 20:41:32,"everyone","1851001376878350602",FALSE,"en","1688907419802386433","1851001376878350602","Web",FALSE,"Your Connect To The Latest trends,Valuable Tips, and the hottest accuracy of the entire internet",FALSE,"Interconnectz","Internet Connectz","2023-08-08T13:38:20.000Z","https://pbs.twimg.com/profile_images/1688908739317792768/lV7IMXaK_normal.jpg","https://t.co/htHPMXNK70","1851206876697895192",0,0,0,0,0,11,NA,316,446,16995,2,7658,"Red tide detected off Pinellas, Hillsborough, Sarasota and Manatee counties https://t.co/H21HQroZ6A",NA,FALSE
"14","🌊A week after the fall's 1st confirmed reports of red tide off the Pinellas County coast, data show concentrations elsewhere. Bloom-level concentrations were present: Pinellas County 5, Manatee County 2 and Sarasota County 2. #Poison Help 1-800-222-1222. . https   health wusf usf edu health news florida 2024 10 28 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-28 14:01:00,"everyone","1850900577926127973",FALSE,"en","236390420","1850900577926127973","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,27,NA,1211,429,10166,21,2582,"🌊A week after the fall's 1st confirmed reports of red tide off the Pinellas County coast, data show concentrations elsewhere. Bloom-level concentrations were present: Pinellas County 5, Manatee County 2 and Sarasota County 2. #Poison Help 1-800-222-1222. https://t.co/FqedETGl3k",NA,FALSE
"15","Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties | WUSF  . https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties. https   x com tstanfield status 1850824899465527642 photo 1",2024-10-28 09:00:17,"everyone","1850824899465527642",FALSE,"en","16384228","1850824899465527642","Punta Gorda, Florida",FALSE,"""He who is brave is free."" - Lucius Annaeus Seneca | Fighting for inclusion, tolerance, & fairness. Geek. Beaches. Sunrises. Live music. LGBTQ.",FALSE,"tstanfield","Todd Stanfield 🏳️‍🌈","2008-09-20T23:38:44.000Z","https://pbs.twimg.com/profile_images/1741740382876995584/blbeTx-r_normal.jpg",NA,NA,0,0,0,0,0,14,NA,982,1610,12215,4,4251,"Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties | WUSF https://t.co/lAlzL7sLz2 https://t.co/GT0CRF3Xf6",NA,FALSE
"16","RT @wusf: According to the @MyFWC report issued Friday, the organism that causes red tide was detected in 49 samples along the coast of Southwest Florida. However, bloom-level concentrations were present in just nine samples.

. https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-27 14:48:48,"everyone","1850550220180119912",FALSE,"en","730963068","1850550220180119912","Palm Harbor, FL",FALSE,"Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.",FALSE,"wusfschreiner","Mark Schreiner","2012-08-01T16:09:25.000Z","https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",NA,NA,1,0,0,0,0,0,NA,1810,3085,25652,58,171293,"RT @wusf: According to the @MyFWC report issued Friday, the organism that causes red tide was detected in 49 samples along the coast of Southwest Florida. However, bloom-level concentrations were present in just nine samples.

https://t.co/GihFL5PYzO",NA,FALSE
"17","Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties - WUSF -  #GoogleAlerts. https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-27 13:39:41,"everyone","1850532823704236344",FALSE,"en","534263140","1850532823704236344",NA,FALSE,"",FALSE,"FloridaIssues","Florida Issues","2012-03-23T12:49:26.000Z","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",NA,NA,0,0,0,0,0,23,NA,1099,11,159325,37,1352,"Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties - WUSF - https://t.co/Yfbn2ob2zd #GoogleAlerts",NA,FALSE
"18","#RedTide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties #Florida



Download Now
. https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties. https   app appsflyer com com opera app news",2024-10-27 08:25:19,"everyone","1850453714571538722",FALSE,"en","49303240","1850453714571538722","Tampa, Florida",FALSE,"Husband, World traveler, NewsHound. Photographer, Pilot, Sailor,  Ham Radio, RF Engineering, Business Owner, Tweeting for @NavalTV",FALSE,"lymanduggan","Lyman Duggan VE9NE/W4 🇨🇦 from #PEI","2009-06-21T12:26:01.000Z","https://pbs.twimg.com/profile_images/582035246/DSC_0027_800_normal.JPG","https://t.co/yTcDDtAFbx",NA,0,0,0,0,0,18,NA,1081,4145,33383,56,6398,"#RedTide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties #Florida

https://t.co/JgapFGNGNL

Download Now
https://t.co/ytDBEFyWYm",NA,FALSE
"19","Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties - WUSF -  #GoogleAlerts. https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-26 22:40:56,"everyone","1850306648168129022",FALSE,"en","534263140","1850306648168129022",NA,FALSE,"",FALSE,"FloridaIssues","Florida Issues","2012-03-23T12:49:26.000Z","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",NA,NA,0,0,0,0,0,32,NA,1099,11,159325,37,1352,"Red tide detected off Pinellas, Hillsborough, Sarasota, and Manatee counties - WUSF - https://t.co/6cT2V6v7NY #GoogleAlerts",NA,FALSE
"20","@MortgageReport @travisakers Clearwater Beach for family vacation yearly when I was young. Born/raised in Indiana between Chi &amp; Indy. Beaches so beautiful. I vowed to live there someday. After 40+ years, politics aside, between hurricanes, red tides, property insurance &amp; taxes, my husband &amp; I feel the same.. ",2024-10-26 19:13:06,"everyone","1850254346048401468",FALSE,"en","820823097431433216","1849931865525731549","Florida, USA",FALSE,"",FALSE,"DawnBennNoTrump","Dawn Bennington","2017-01-16T02:40:51.000Z","https://pbs.twimg.com/profile_images/884591216255524864/tA8FieG9_normal.jpg",NA,NA,0,0,2,0,0,108,NA,319,1177,2139,1,6053,"@MortgageReport @travisakers Clearwater Beach for family vacation yearly when I was young. Born/raised in Indiana between Chi &amp; Indy. Beaches so beautiful. I vowed to live there someday. After 40+ years, politics aside, between hurricanes, red tides, property insurance &amp; taxes, my husband &amp; I feel the same.","10269752",FALSE
"21","According to the @MyFWC report issued Friday, the organism that causes red tide was detected in 49 samples along the coast of Southwest Florida. However, bloom-level concentrations were present in just nine samples.

. https   www wusf org environment 2024 10 26 red tide detected off pinellas hillsborough sarasota and manatee counties",2024-10-26 19:00:00,"everyone","1850251047169884424",FALSE,"en","17544442","1850251047169884424","Tampa, FL",FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.",FALSE,"wusf","WUSF","2008-11-21T20:07:08.000Z","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","https://t.co/KBo4cZ4tOe","1787836246024437952",1,0,1,0,0,127,NA,15284,2343,41384,473,2743,"According to the @MyFWC report issued Friday, the organism that causes red tide was detected in 49 samples along the coast of Southwest Florida. However, bloom-level concentrations were present in just nine samples.

https://t.co/GihFL5PYzO",NA,FALSE
"22","RT @HealthyPinellas: .@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here:  . http   protectingfloridatogether gov. https   x com HealthyPinellas status 1849556470834077928 photo 1",2024-10-25 11:33:54,"everyone","1849776394626269529",FALSE,"en","1695166315848241152","1849776394626269529","USA",FALSE,"💻 Nock Payment can get your merchant account approved when others can’t, and fast! 💳 For further details:
🌐 https://t.co/o9lIa5CKS4
📧 support@nockpay.com",FALSE,"NockPayments","Nock Pay","2023-08-25T20:08:47.000Z","https://pbs.twimg.com/profile_images/1828060094053195777/3eIMxPmR_normal.jpg","https://t.co/o9lIa5CKS4","1772795434970308890",2,0,0,0,0,0,NA,217,43,175,0,329,"RT @HealthyPinellas: .@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here: https://t.co/BUcuycnB4c https://t.co/GRa9O6N1iM",NA,FALSE
"23","RT @HealthyPinellas: .@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here:  . http   protectingfloridatogether gov. https   x com HealthyPinellas status 1849556470834077928 photo 1",2024-10-24 21:05:16,"everyone","1849557798494912999",FALSE,"en","1359294601","1849557798494912999","Florida",FALSE,"",FALSE,"haggett_irene","its only me","2013-04-17T12:17:06.000Z","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,NA,2,0,0,0,0,0,NA,200,134,11837,0,20853,"RT @HealthyPinellas: .@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here: https://t.co/BUcuycnB4c https://t.co/GRa9O6N1iM",NA,FALSE
"24",".@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here:  . http   protectingfloridatogether gov. https   x com HealthyPinellas status 1849556470834077928 photo 1",2024-10-24 21:00:00,"everyone","1849556470834077928",FALSE,"en","753313515134476292","1849556470834077928","St Petersburg, FL",FALSE,"The Florida Department of Health in Pinellas County works for you in the community.",FALSE,"HealthyPinellas","FL Health Pinellas","2016-07-13T19:41:52.000Z","https://pbs.twimg.com/profile_images/1239528273954115584/zvltBjSI_normal.jpg",NA,"1662159122060439552",2,0,2,0,0,122,NA,6526,915,16622,131,9808,".@MyFWC and @HealthyPinellas are monitoring #redtide that has been found in Pinellas waters. Concentrations have been found offshore. Check water quality status here: https://t.co/BUcuycnB4c https://t.co/GRa9O6N1iM",NA,FALSE
"25","🌊Recent water samples and satellite images show red tide blooms offshore from Florida’s Tampa Bay area, in waters churned up by hurricanes Milton and Helene. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222. . https   weather com science environment video florida red tide tampa bay pinellas beaches 0",2024-10-24 20:01:00,"everyone","1849541623044243752",FALSE,"en","236390420","1849541623044243752","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,49,NA,1211,429,10166,21,2582,"🌊Recent water samples and satellite images show red tide blooms offshore from Florida’s Tampa Bay area, in waters churned up by hurricanes Milton and Helene. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222. https://t.co/NxwGleproa",NA,FALSE
"26","🌊Recent water samples and satellite images show red tide blooms offshore from Florida’s Tampa Bay area, in waters churned up by hurricanes Milton and Helene. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222. . https   weather com science environment video florida red tide tampa bay pinellas beaches 0",2024-10-24 13:01:00,"everyone","1849435926805586217",FALSE,"en","236390420","1849435926805586217","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,57,NA,1211,429,10166,21,2582,"🌊Recent water samples and satellite images show red tide blooms offshore from Florida’s Tampa Bay area, in waters churned up by hurricanes Milton and Helene. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222. https://t.co/NxwGleoTyC",NA,FALSE
"27","RT @lesleyabravanel: Red Tide Looms Off Florida West Coast. Let's send that shiz off along with Red Tide Rick Scott. Vote for Debbie Mucarsel-Powell to change the tides in Florida that have been so spoiled by 30  years of Republican wreckage. . https   weather com science environment video florida red tide tampa bay pinellas beaches 0",2024-10-23 18:20:08,"everyone","1849153852010025018",FALSE,"en","1689522686","1849153852010025018",NA,FALSE,"rays fan",FALSE,"Hattonsu","Sue hatton","2013-08-21T23:52:15.000Z","https://pbs.twimg.com/profile_images/378800000336413884/333638b1625e97cd3445bd4fe19e2edc_normal.jpeg",NA,NA,17,0,0,0,0,0,NA,632,650,63215,4,96799,"RT @lesleyabravanel: Red Tide Looms Off Florida West Coast. Let's send that shiz off along with Red Tide Rick Scott. Vote for Debbie Mucarsel-Powell to change the tides in Florida that have been so spoiled by 30  years of Republican wreckage. https://t.co/FePNI6RPan",NA,FALSE
"28","The long-term consequences...
. https   weather com science environment video florida red tide tampa bay pinellas beaches 0",2024-10-23 03:59:25,"everyone","1848937243471126627",FALSE,"en","305183512","1848937243471126627",NA,FALSE,"Welcome to the newsfeed for Prisere LLC, with updates on our work on climate change adaptation and disaster risk reduction to enable resilient small businesses.",FALSE,"Prisere","Prisere LLC","2011-05-25T19:50:22.000Z","https://pbs.twimg.com/profile_images/547956782346162177/Vx237uw__normal.jpeg","https://t.co/klf3SU6uqJ",NA,0,0,0,0,0,7,NA,48,36,1698,8,11,"The long-term consequences...
https://t.co/hegL0GtEdH",NA,FALSE
"29","@weatherchannel @weatherchannel When will the videos of the talent answering the “whatcha Want to know” segment be posted and where to? I can’t wait! Also will it be a regular series and happen often!",2024-10-23 03:57:53,"everyone","1848936857788199236",FALSE,"en","1694503011693793280","1848854347045843045",NA,FALSE,"",FALSE,"BobB252809","Bob B","2023-08-24T00:13:26.000Z","https://pbs.twimg.com/profile_images/1694503144309366784/lTItCNuE_normal.png",NA,NA,0,0,0,0,0,16,NA,0,11,61,0,12,NA,"20998647",TRUE
"30","Red tide is confirmed off the Pinellas Gulf coast . https   www wusf org environment 2024 10 19 red tide is confirmed off the pinellas gulf coast",2024-10-23 02:05:20,"everyone","1848908533082788181",FALSE,"en","1694406277","1848908533082788181","Philadelphia, PA",FALSE,"Aquatic Ecologist, Environmental Scientist, Educator, Former Asst Dean. The postings on this site are my own and do not represent the opinions of my employer.",FALSE,"WolbachK","Kevin Wolbach","2013-08-23T17:23:49.000Z","https://pbs.twimg.com/profile_images/643895886897115137/1KTmUOFc_normal.jpg",NA,NA,0,0,2,0,0,22,"dd9c503d6c35364b",201,99,4555,2,5225,"Red tide is confirmed off the Pinellas Gulf coast https://t.co/VkuYmlfmy7",NA,FALSE
"31","@weatherchannel https://t.co/AtavoFTT8U https://t.co/wUy9Pb8y22",2024-10-23 01:39:20,"everyone","1848901991239467108",FALSE,"qme","1832774222373851136","1848854347045843045","Auburndale, FL",FALSE,"#DivineUnity #LastOrdained #GrandProphet. Gold ⭐️ S.o.S Brown n White ⭐️ Divine Unity. GrandRising #GoldenAge. #Christ",FALSE,"KeeloLott","Yahshua Meshilock","2024-09-08T13:33:33.000Z","https://pbs.twimg.com/profile_images/1832774369090666496/FAePGrCW_normal.jpg",NA,"1832777217241166110",0,0,0,0,0,2,NA,48,6,1698,0,42,NA,"20998647",TRUE
"32","RT @weatherchannel: In the wake of Helene and Milton, red tide is looming off Florida's west coast. Here's what you should know about this rising threat: . https   weather com science environment video florida red tide tampa bay pinellas beaches 0",2024-10-23 00:51:42,"everyone","1848890006494155098",FALSE,"en","67937047","1848890006494155098",NA,FALSE,"",FALSE,"kbplitt","Kathryn Plitt","2009-08-22T17:29:25.000Z","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,NA,7,0,0,0,0,0,NA,530,235,265432,21,256643,"RT @weatherchannel: In the wake of Helene and Milton, red tide is looming off Florida's west coast. Here's what you should know about this rising threat: https://t.co/8Doj4EQZ0y",NA,FALSE
