"","text","created_at.x","author_id","id","lang","possibly_sensitive","reply_settings","conversation_id","created_at.y","name","url","description","location","profile_image_url","verified","username","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links"
"11","Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B...  via @Change. https   www change org p mayor rick kriseman stop st pete s illegal dumping of raw and partially treated sewage into tampa bay s water",2018-03-29 04:47:43,"302814665","979218522344755200","en",FALSE,"everyone","979218522344755200","2011-05-21T20:10:45.000Z","Carla",NA,"I am a spiritual being having a human experience.",NA,"https://pbs.twimg.com/profile_images/806315956049821696/TQwTICR6_normal.jpg",FALSE,"revcarlag",FALSE,0,0,0,0,0,165,288,13265,0,NA,"1509208754549624835",NA,"Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B... https://t.co/rlXjI7qQEp via @Change"
"12","#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise.  via @ByJoshSolomon. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203",2018-04-20 19:56:56,"62575859","987419866062782465","en",FALSE,"everyone","987419866062782465","2009-08-03T17:55:56.000Z","Craig Pittman","https://t.co/Y1kqEYKFCg","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","St. Petersburg FL","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg",FALSE,"craigtimes",FALSE,4,0,3,1,0,20627,2285,180255,859,NA,"1437092398249689093",NA,"#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon"
"13","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its ow…",2018-04-20 22:00:49,"2414913756","987451046049058821","en",FALSE,"everyone","987451046049058821","2014-03-27T21:29:48.000Z","Le Chat Biden Democrat",NA,"#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","Florida","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"LeChatNoire4",FALSE,4,0,0,0,0,14256,13683,1102946,336,NA,"1222268511134896129",NA,"#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon"
"14","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its ow…",2018-04-20 22:19:59,"244200696","987455866281627654","en",FALSE,"everyone","987455866281627654","2011-01-28T19:28:02.000Z","Sal Molina",NA,"Vietnam Veteran, Retired Federal Agent, Ex International Policeman/Investigator for the United Nations in Kosovo. Longhorns, Cowboys, Spurs Fan, Democrat.","San Antonio, Texas","https://pbs.twimg.com/profile_images/378800000257900582/1193b134607b66463b7afed9bc2fd651_normal.jpeg",FALSE,"OOsal",FALSE,4,0,0,0,0,10138,11167,179202,110,NA,NA,NA,"#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon"
"15","RT @craigtimes: #Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its ow…",2018-04-20 22:22:16,"106331667","987456440054042624","en",FALSE,"everyone","987456440054042624","2010-01-19T06:15:59.000Z","MikeofBoston 🇺🇦",NA,"I retweet various tweets because I feel they are worth seeing/reading/hearing Proudly raised in New Hampshire,  registered as undeclared voter 🇺🇸  🇮🇪 🇺🇦","Boston, MA","https://pbs.twimg.com/profile_images/1110682867254902784/4aKOU8g1_normal.png",FALSE,"griffbos",FALSE,4,0,0,0,0,2744,2641,184839,17,NA,NA,NA,"#Florida city with history of dumping sewage into the bay says its latest wastewater spill didn't reach the bay. But its own report says otherwise. https://t.co/5DrxqJaO1p via @ByJoshSolomon"
"16","@PatsCSW @RepMaxineWaters I hope that she's swimming in the Bay when St. Pete releases some raw sewage.... ",2018-04-21 04:20:30,"970535995321053184","987546596123561984","en",FALSE,"everyone","987324895678910465","2018-03-05T05:46:27.000Z","Sailfish1900",NA,"",NA,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,"Sailfish115",FALSE,0,0,0,0,0,7,189,677,0,"2233488978",NA,NA,"@PatsCSW @RepMaxineWaters I hope that she's swimming in the Bay when St. Pete releases some raw sewage..."
"17","""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: . http   www tampabay com news localgovernment St Pete says discharge never reached the bay Its own report says otherwise _167452203",2018-04-21 14:00:00,"17873369","987692430131650560","en",FALSE,"everyone","987692430131650560","2008-12-04T18:03:12.000Z","Charlie Frago","https://t.co/uISsduaLRA","Tampa City Hall reporter for @TB_Times. Formerly covered St. Petersburg and Clearwater. Retweets and Favorites aren't endorsements.","Tampa, FL","https://pbs.twimg.com/profile_images/1169326335266873344/TEB8ae5V_normal.jpg",TRUE,"CharlieFrago",FALSE,12,1,25,2,0,4928,3737,14779,155,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"18","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 14:01:05,"41584448","987692702367125505","en",FALSE,"everyone","987692702367125505","2009-05-21T13:22:33.000Z","Corey Johnson",NA,"Reporter @ProPublica. @PulitzerPrize winner. @FAMU_1887 alum. Digger for truth. ATL born & made. Send tips to corey.johnson@propublica.org","Tampa, FL","https://pbs.twimg.com/profile_images/378800000485677998/c6d3bad1b76e3471de5cdf6b0f7ef9e4_normal.jpeg",TRUE,"CoreyGJohnson",FALSE,12,0,0,0,0,9591,5960,19322,350,NA,"1089643831946108930",NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"19","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 14:04:28,"19828037","987693553060122625","en",FALSE,"everyone","987693553060122625","2009-01-31T19:40:00.000Z","Peter Schorsch","https://t.co/xHY94R11d9","Husband to Michelle, Father to Ella. Publisher of @Fla_Pol, https://t.co/xHY94R11d9, INFLUENCE Mag, etc.","In between Disney Cruises","https://pbs.twimg.com/profile_images/1608216134850846720/KPutQQoI_normal.jpg",FALSE,"PeterSchorschFL",FALSE,12,0,0,0,0,50891,10181,228205,945,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"20","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 18:51:49,"25082216","987765867491610625","en",FALSE,"everyone","987765867491610625","2009-03-18T14:36:59.000Z","Noah Pransky","https://t.co/O1xTiqJK2T","Nat’l Political Editor @NBCLX. Tracking GenZ, Millennials, & polarization. Prev: investigative dude, #ZombieCampaigns slayer, competitive eater, MLB mascot.","New York, NY","https://pbs.twimg.com/profile_images/875783647772672003/3KThxPB9_normal.jpg",TRUE,"noahpransky",FALSE,12,0,0,0,0,7694,696,29859,364,NA,"1609549003770978304",NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"21","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 18:55:29,"234007105","987766792943697922","en",FALSE,"everyone","987766792943697922","2011-01-04T16:50:04.000Z","Josh Solomon","https://t.co/legWM94AHg","Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","Tampa, Florida","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"ByJoshSolomon",FALSE,12,0,0,0,0,2372,1804,5204,86,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"22","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 19:11:43,"74726511","987770874932719616","en",FALSE,"everyone","987770874932719616","2009-09-16T13:11:18.000Z","Chris Latvala",NA,"Pinellas County Commissioner. Christian. UCF Grad. Political Consultant.","Clearwater","https://pbs.twimg.com/profile_images/1006611418567888896/24nEHoZO_normal.jpg",FALSE,"ChrisLa1974",FALSE,12,0,0,0,0,7246,4925,24477,150,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"23","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-21 22:41:30,"860482663","987823670964912128","en",FALSE,"everyone","987823670964912128","2012-10-03T23:02:02.000Z","Roberto Roldan",NA,"Louisville Politics & Government @WFPLNews. Florida man 🇵🇷. Formerly: @MyVPM @WUSF & more. Tips: rroldan@WFPL.org","Louisville, KY","https://pbs.twimg.com/profile_images/1429916004625358859/aU9RNN5Y_normal.jpg",FALSE,"ByRobertoR",FALSE,12,0,0,0,0,4010,628,18314,113,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"24","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-22 15:18:20,"15086826","988074531192496129","en",FALSE,"everyone","988074531192496129","2008-06-11T17:21:49.000Z","Jamal Thalji","https://t.co/sHHGKCO5lg","Proud @TB_Times alumnus. Recovering journalist. I miss #NightEditorProblems. #GoBucs #Raysup #GoBolts #GoBulls","Tampa Bay, FL","https://pbs.twimg.com/profile_images/1547364767668621313/uG1sp6Dh_normal.jpg",TRUE,"jthalji",FALSE,12,0,0,0,0,4578,9993,19585,144,NA,"1359604017471639552",NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"25","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-22 15:28:23,"5145791","988077062131998720","en",FALSE,"everyone","988077062131998720","2007-04-18T18:49:51.000Z","Howard Altman","https://t.co/XYtpsoSnfM","Senior staff writer for @thewarzonewire, former MilitaryTimes senior managing editor, military reporter @TB_Times","ÜT: 28.24983,-82.725911","https://pbs.twimg.com/profile_images/496686675645308928/2e9hRrSv_normal.jpeg",FALSE,"haltman",FALSE,12,0,0,0,0,14481,13337,64995,421,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"26","@CharlieFrago @TB_Times @StPeteFL @ByJoshSolomon It always flows downhill... 💩",2018-04-22 16:53:42,"42056459","988098530513440768","en",FALSE,"everyone","987692430131650560","2009-05-23T16:47:16.000Z","Travis Horn","https://t.co/2UEWMFjuEA","I'm not a ninja, a guru, or a jedi. I am a proud US #Army #Vet 🇺🇸 #Advertising #Marketing #Media & #PR #PublicRelations Pro. #UF 🐊 BA/JD","Tampa, Florida","https://pbs.twimg.com/profile_images/923668211505098752/OtCrYS0y_normal.jpg",FALSE,"TweetUrHorn",FALSE,0,0,0,0,0,2095,4860,16928,71,"17873369",NA,NA,NA
"27","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-22 17:12:18,"28715950","988103212782751745","en",FALSE,"everyone","988103212782751745","2009-04-04T02:10:37.000Z","Kathy Wingard 🇺🇦 ☮️",NA,"Former journo for @AP. Owned by ShihTzu, parrots,cats.#NASASocial #weirdFL FL native; NASA supporter; #Internet pioneer. RTs aren’t endorsements, just info.","Charlotte Harbor, Florida, US","https://pbs.twimg.com/profile_images/3176517552/53a33b71a761ecb874047b9be819e99f_normal.jpeg",FALSE,"KathyWingard",FALSE,12,0,0,0,0,5094,5598,111152,267,NA,NA,NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"28","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-22 17:53:16,"52508214","988113523120230402","en",FALSE,"everyone","988113523120230402","2009-06-30T20:22:43.000Z","Sara DiNatale","https://t.co/mEEwsSs2U3","Gulf Coast reporter for @MSTODAYnews, health & business. Proud alum of @TB_Times. Buffalo native and relentless nonprofit news stan. She/her 🏳️‍🌈","BUF ➡️ TPA  ➡️ MS GULF COAST","https://pbs.twimg.com/profile_images/1513710895125434380/aOR2BlAM_normal.jpg",TRUE,"sara_dinatale",FALSE,12,0,0,0,0,2978,1689,10189,84,NA,"1542166962633064448",NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"29","RT @CharlieFrago: ""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re…",2018-04-23 11:44:46,"15601977","988383172579688448","en",FALSE,"everyone","988383172579688448","2008-07-25T18:52:57.000Z","Greg Auman","https://t.co/pdgWVW2Zak","Now covering the NFC South for @FOXsports — Bucs, Falcons, Panthers, Saints. On Bucs since 2013, previously @TheAthleticNFL. email greg.auman@fox.com.","Tampa, Florida","https://pbs.twimg.com/profile_images/1594378948930052097/iLL05Av5_normal.jpg",TRUE,"gregauman",FALSE,12,0,0,0,0,61713,1438,225656,1839,NA,"1622292792612634625",NA,"""Alarmist"" @TB_Times turns out to be confirmed. Twice. How 'bout that? Continuing the dozens of stories w/o correction re: @StPeteFL sewage crisis since Aug 2015. @ByJoshSolomon has the latest: https://t.co/MaDppftkSv"
"30","Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: . http   www tampabay com blogs baybuzz 2018 05 02 reclaimed water spilled into canal at boca ciega bay",2018-05-02 16:52:16,"17873369","991722049138843648","en",FALSE,"everyone","991722049138843648","2008-12-04T18:03:12.000Z","Charlie Frago","https://t.co/uISsduaLRA","Tampa City Hall reporter for @TB_Times. Formerly covered St. Petersburg and Clearwater. Retweets and Favorites aren't endorsements.","Tampa, FL","https://pbs.twimg.com/profile_images/1169326335266873344/TEB8ae5V_normal.jpg",TRUE,"CharlieFrago",FALSE,3,2,6,3,0,4928,3737,14779,155,NA,NA,NA,"Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: https://t.co/MsWAlVUJWr"
"31","Of course new @TB_Times St. Pete City Hall beat reporter @cljohnst gets a baptism by sewage.
. http   www tampabay com blogs baybuzz 2018 05 02 reclaimed water spilled into canal at boca ciega bay",2018-05-02 16:54:32,"121790891","991722619731890176","en",FALSE,"everyone","991722619731890176","2010-03-10T16:00:54.000Z","Tony Marrero","https://t.co/kH6s954QCq","Staff writer for the Tampa Bay Times @tb_times You ain't gonna learn what you don't want to know. -- John Perry Barlow","Tampa Bay","https://pbs.twimg.com/profile_images/1067046507734548480/tt1USnXn_normal.jpg",TRUE,"TMarreroTimes",FALSE,4,2,17,0,0,3339,2853,15827,143,NA,NA,NA,"Of course new @TB_Times St. Pete City Hall beat reporter @cljohnst gets a baptism by sewage.
https://t.co/gcdvEKgiKX"
"32","RT @TMarreroTimes: Of course new @TB_Times St. Pete City Hall beat reporter @cljohnst gets a baptism by sewage.
https://t.co/gcdvEKgiKX",2018-05-02 16:57:44,"329745459","991723424983797760","en",FALSE,"everyone","991723424983797760","2011-07-05T15:20:23.000Z","Justine Griffin","https://t.co/u2xZJsCvlp","@TB_Times Economy & Growth Editor. Equestrian. Egg donor. Mother of 🐎🐕🐓. Tips? jgriffin@tampabay.com","St Petersburg, FL","https://pbs.twimg.com/profile_images/1478031891420876802/ifqL0NNs_normal.jpg",TRUE,"SunBizGriffin",FALSE,4,0,0,0,0,3557,1999,34726,235,NA,"1477775982820003847",NA,"Of course new @TB_Times St. Pete City Hall beat reporter @cljohnst gets a baptism by sewage.
https://t.co/gcdvEKgiKX"
"33","RT @CharlieFrago: Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: https://t.co…",2018-05-02 16:58:13,"25022694","991723545523834880","en",FALSE,"everyone","991723545523834880","2009-03-18T03:46:38.000Z","Caitlin Johnston",NA,"Storyteller. Adventure seeker. Slow runner. Avid reader. Recovering journalist. Take me to the mountains, please. 🏔 🥃 📚","St Petersburg, FL","https://pbs.twimg.com/profile_images/1365738426402811910/ZmAaJVEw_normal.jpg",TRUE,"cljohnst",FALSE,3,0,0,0,0,2876,1558,6562,105,NA,NA,NA,"Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: https://t.co/MsWAlVUJWr"
"34","RT @CharlieFrago: Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: https://t.co…",2018-05-02 17:49:14,"17824322","991736386855276544","en",FALSE,"everyone","991736386855276544","2008-12-03T01:05:20.000Z","Steve Contorno",NA,"Reporter for @CNN covering politics in Florida. Formerly @TB_Times. Signal: 8134383481. DMs = open.","Tampa, Florida","https://pbs.twimg.com/profile_images/1441055559608848387/FpGwTpFZ_normal.jpg",TRUE,"scontorno",FALSE,3,0,0,0,0,13139,3733,34916,494,NA,NA,NA,"Baptism by sewage!( h/t @TMarreroTimes) @cljohnst 2nd day on @StPeteFL involves a spill near Boca Ciega Bay: https://t.co/MsWAlVUJWr"
